,Id,Age Category,Sex,Rank,Time,Year
38012,2497,"[50, 55)",M,1194,15121,2016
38013,2498,"[35, 40)",M,671,13814,2016
38015,2500,"[55, 60)",M,2110,17695,2016
38017,2502,"[65, 70)",M,1737,16634,2016
38022,2507,"[35, 40)",M,868,14273,2016
38023,2508,"[35, 40)",M,134,11831,2016
38024,2509,"[35, 40)",M,457,13200,2016
38025,2510,"[45, 50)",F,2832,21387,2016
38026,2511,"[45, 50)",M,1955,17235,2016
38027,2512,"[35, 40)",M,1455,15916,2016
38028,2513,"[25, 30)",F,2024,17417,2016
38030,2515,"[55, 60)",M,2275,18270,2016
38031,2516,"[30, 35)",M,1876,17016,2016
38032,2517,"[40, 45)",F,2075,17554,2016
38034,2519,"[45, 50)",M,84,11382,2016
38035,2520,"[35, 40)",F,1795,16792,2016
38037,2522,"[45, 50)",M,1520,16049,2016
38038,2523,"[40, 45)",M,1040,14695,2016
38042,2527,"[15, 20)",M,1965,17258,2016
38043,2528,"[20, 25)",F,1199,15128,2016
38046,2531,"[35, 40)",F,1852,16957,2016
38047,2532,"[40, 45)",M,2343,18573,2016
38048,2533,"[50, 55)",M,1813,16832,2016
38049,2534,"[40, 45)",F,1807,16824,2016
38051,2536,"[50, 55)",M,272,12554,2016
38053,2538,"[35, 40)",M,1357,15586,2016
38054,2539,"[45, 50)",F,1076,14819,2016
38055,2540,"[50, 55)",F,2915,22344,2016
38059,2544,"[35, 40)",M,826,14178,2016
38060,2545,"[35, 40)",M,2578,19601,2016
38062,2547,"[40, 45)",F,1915,17105,2016
38064,2549,"[35, 40)",F,1700,16542,2016
38066,2551,"[30, 35)",M,425,13103,2016
38067,2552,"[35, 40)",F,2776,20889,2016
38069,2554,"[30, 35)",M,2241,18154,2016
38070,2555,"[30, 35)",F,806,14135,2016
38071,2556,"[45, 50)",M,2227,18088,2016
38072,2557,"[45, 50)",M,111,11672,2016
38075,2560,"[35, 40)",M,1084,14834,2016
38076,2561,"[35, 40)",F,1546,16104,2016
38078,2563,"[25, 30)",F,1739,16636,2016
38079,2564,"[25, 30)",F,2378,18753,2016
38082,2567,"[30, 35)",F,723,13966,2016
38083,2568,"[20, 25)",F,1550,16111,2016
38084,2569,"[45, 50)",F,2534,19406,2016
38086,2571,"[30, 35)",F,2683,20170,2016
38088,2573,"[40, 45)",M,2039,17471,2016
38090,2575,"[20, 25)",M,1894,17055,2016
38091,2576,"[40, 45)",M,98,11566,2016
38092,2577,"[55, 60)",M,1414,15793,2016
38093,2578,"[50, 55)",M,205,12258,2016
38094,2579,"[60, 65)",M,2353,18608,2016
38095,2580,"[50, 55)",M,1826,16874,2016
38096,2581,"[25, 30)",F,2201,17985,2016
38097,2582,"[35, 40)",M,626,13675,2016
38101,2586,"[35, 40)",F,1468,15947,2016
38104,2589,"[55, 60)",M,300,12629,2016
38106,2591,"[30, 35)",M,539,13454,2016
38107,2592,"[40, 45)",M,2643,19889,2016
38108,2593,"[40, 45)",F,456,13194,2016
38109,2594,"[20, 25)",M,424,13103,2016
38110,2595,"[40, 45)",M,307,12646,2016
38111,2596,"[35, 40)",F,2560,19527,2016
38112,2597,"[20, 25)",M,1569,16161,2016
38113,2598,"[35, 40)",M,187,12147,2016
38115,2600,"[40, 45)",M,810,14142,2016
38116,2601,"[40, 45)",M,2456,19060,2016
38118,2603,"[30, 35)",M,2634,19838,2016
38120,2605,"[30, 35)",M,1310,15456,2016
38121,2606,"[35, 40)",F,1989,17323,2016
38122,2607,"[40, 45)",M,230,12383,2016
38124,2609,"[45, 50)",M,1137,14948,2016
38125,2610,"[30, 35)",M,605,13628,2016
38127,2612,"[35, 40)",M,2381,18763,2016
38128,2613,"[25, 30)",F,1709,16562,2016
38129,2614,"[45, 50)",M,1127,14936,2016
38130,2615,"[35, 40)",M,2796,21020,2016
38132,2617,"[55, 60)",M,1057,14768,2016
38134,2619,"[55, 60)",M,2670,20040,2016
38135,2620,"[30, 35)",F,844,14223,2016
38136,2621,"[35, 40)",M,3026,25133,2016
38137,2622,"[25, 30)",M,869,14276,2016
38138,2623,"[35, 40)",F,2274,18270,2016
38140,2625,"[40, 45)",M,2660,19976,2016
38141,2626,"[25, 30)",F,2610,19724,2016
38142,2627,"[35, 40)",F,63,11136,2016
38143,2628,"[30, 35)",F,2819,21236,2016
38144,2629,"[45, 50)",F,2759,20767,2016
38145,2630,"[35, 40)",F,2187,17938,2016
38146,2631,"[35, 40)",F,2458,19061,2016
38147,2632,"[35, 40)",M,1526,16066,2016
38148,2633,"[30, 35)",F,1619,16308,2016
38150,2635,"[20, 25)",F,2857,21745,2016
38151,2636,"[30, 35)",M,459,13207,2016
38153,2638,"[30, 35)",M,327,12720,2016
38155,2640,"[40, 45)",M,2434,19012,2016
38156,2641,"[25, 30)",M,2029,17438,2016
38157,2642,"[40, 45)",M,1686,16482,2016
38158,2643,"[55, 60)",M,986,14527,2016
38159,2644,"[35, 40)",F,1271,15337,2016
38161,2646,"[30, 35)",F,889,14319,2016
38162,2647,"[40, 45)",M,146,11916,2016
38163,2648,"[40, 45)",F,1571,16163,2016
38164,2649,"[55, 60)",M,2423,18973,2016
38165,2650,"[40, 45)",F,2336,18542,2016
38166,2651,"[30, 35)",F,2645,19891,2016
38167,2652,"[45, 50)",M,1098,14870,2016
38168,2653,"[35, 40)",F,2698,20299,2016
38169,2654,"[40, 45)",F,1574,16166,2016
38173,2658,"[55, 60)",M,2955,23227,2016
38175,2660,"[30, 35)",M,348,12807,2016
38177,2662,"[40, 45)",F,2883,21984,2016
38178,2663,"[30, 35)",M,887,14316,2016
38179,2664,"[35, 40)",M,1267,15319,2016
38180,2665,"[35, 40)",F,1959,17242,2016
38181,2666,"[30, 35)",M,2317,18451,2016
38184,2669,"[55, 60)",M,657,13766,2016
38185,2670,"[50, 55)",M,382,12960,2016
38186,2671,"[45, 50)",M,1864,16977,2016
38187,2672,"[25, 30)",M,850,14232,2016
38190,2675,"[35, 40)",M,2459,19077,2016
38191,2676,"[15, 20)",M,2505,19288,2016
38192,2677,"[45, 50)",M,1155,14999,2016
38193,2678,"[40, 45)",M,289,12595,2016
38194,2679,"[30, 35)",F,2394,18845,2016
38195,2680,"[40, 45)",M,2193,17963,2016
38196,2681,"[40, 45)",F,1987,17320,2016
38197,2682,"[35, 40)",F,1364,15613,2016
38198,2683,"[45, 50)",F,1166,15037,2016
38199,2684,"[45, 50)",M,37,10902,2016
38201,2686,"[35, 40)",M,2340,18549,2016
38202,2687,"[50, 55)",M,243,12424,2016
38203,2688,"[45, 50)",M,2337,18543,2016
38204,2689,"[45, 50)",F,1655,16403,2016
38206,2691,"[25, 30)",M,236,12402,2016
38208,2693,"[25, 30)",M,1200,15131,2016
38209,2694,"[50, 55)",M,1293,15413,2016
38210,2695,"[35, 40)",M,248,12442,2016
38211,2696,"[50, 55)",M,2094,17631,2016
38212,2697,"[35, 40)",M,1122,14918,2016
38215,2700,"[45, 50)",F,2797,21031,2016
38217,2702,"[35, 40)",F,2319,18461,2016
38219,2704,"[35, 40)",M,1761,16702,2016
