,Id,Age Category,Sex,Rank,Time,Year
35588,78,"[40, 45)",F,2256,18199,2016
35589,79,"[50, 55)",M,1613,16291,2016
35592,82,"[40, 45)",M,2226,18085,2016
35593,83,"[35, 40)",M,238,12407,2016
35594,84,"[65, 70)",M,2743,20638,2016
35595,85,"[35, 40)",M,813,14151,2016
35597,87,"[20, 25)",M,2931,22658,2016
35599,89,"[35, 40)",M,1884,17040,2016
35600,90,"[25, 30)",M,28,10769,2016
35601,91,"[35, 40)",M,2327,18498,2016
35602,92,"[30, 35)",M,1567,16147,2016
35603,93,"[40, 45)",M,1877,17019,2016
35604,94,"[45, 50)",M,1990,17326,2016
35605,95,"[25, 30)",F,2921,22497,2016
35607,97,"[55, 60)",M,1842,16925,2016
35608,98,"[30, 35)",M,235,12401,2016
35609,99,"[30, 35)",M,1514,16033,2016
35610,100,"[35, 40)",F,1660,16430,2016
35611,101,"[30, 35)",F,2855,21699,2016
35612,102,"[45, 50)",M,1763,16711,2016
35613,103,"[35, 40)",M,1203,15134,2016
35614,104,"[30, 35)",M,1596,16237,2016
35615,105,"[50, 55)",M,876,14283,2016
35616,106,"[45, 50)",M,2469,19116,2016
35622,112,"[25, 30)",F,2141,17791,2016
35623,113,"[30, 35)",F,1315,15470,2016
35624,114,"[35, 40)",M,316,12667,2016
35625,115,"[55, 60)",M,1406,15769,2016
35626,116,"[25, 30)",F,1393,15726,2016
35629,119,"[30, 35)",M,284,12582,2016
35630,120,"[40, 45)",M,1899,17076,2016
35633,123,"[45, 50)",M,789,14094,2016
35634,124,"[30, 35)",F,849,14230,2016
35635,125,"[15, 20)",M,2348,18599,2016
35636,126,"[30, 35)",M,940,14399,2016
35638,128,"[45, 50)",F,1898,17073,2016
35640,130,"[50, 55)",M,1508,16020,2016
35641,131,"[55, 60)",F,2906,22184,2016
35642,132,"[35, 40)",F,2179,17916,2016
35644,134,"[35, 40)",M,762,14044,2016
35645,135,"[50, 55)",M,1227,15206,2016
35646,136,"[45, 50)",M,1558,16125,2016
35650,140,"[40, 45)",M,823,14169,2016
35651,141,"[30, 35)",F,2145,17808,2016
35652,142,"[35, 40)",M,192,12165,2016
35655,145,"[45, 50)",F,2068,17535,2016
35656,146,"[35, 40)",F,2365,18688,2016
35658,148,"[30, 35)",M,287,12593,2016
35659,149,"[20, 25)",F,2351,18601,2016
35663,153,"[30, 35)",M,2148,17822,2016
35667,157,"[35, 40)",M,107,11634,2016
35668,158,"[45, 50)",M,1208,15146,2016
35669,159,"[50, 55)",M,2134,17775,2016
35670,160,"[45, 50)",M,1018,14634,2016
35671,161,"[35, 40)",M,2408,18895,2016
35672,162,"[30, 35)",F,576,13550,2016
35673,163,"[60, 65)",M,2229,18091,2016
35674,164,"[45, 50)",M,1188,15101,2016
35675,165,"[50, 55)",M,1446,15892,2016
35676,166,"[50, 55)",M,601,13617,2016
35677,167,"[35, 40)",F,2901,22166,2016
35682,172,"[50, 55)",M,809,14142,2016
35685,175,"[25, 30)",F,2923,22504,2016
35688,178,"[35, 40)",M,26,10750,2016
35689,179,"[35, 40)",M,946,14419,2016
35690,180,"[40, 45)",F,2943,22857,2016
35691,181,"[55, 60)",M,736,13996,2016
35692,182,"[30, 35)",F,1065,14790,2016
35693,183,"[45, 50)",M,891,14323,2016
35695,185,"[35, 40)",F,2020,17402,2016
35698,188,"[35, 40)",M,1925,17140,2016
35701,191,"[40, 45)",M,572,13547,2016
35702,192,"[35, 40)",F,1555,16117,2016
35704,194,"[50, 55)",M,617,13652,2016
35708,198,"[50, 55)",M,1074,14817,2016
35709,199,"[35, 40)",M,1624,16314,2016
35710,200,"[45, 50)",F,2795,21015,2016
35711,201,"[50, 55)",F,1347,15558,2016
35712,202,"[40, 45)",M,405,13035,2016
35713,203,"[35, 40)",F,773,14063,2016
35714,204,"[30, 35)",F,1063,14785,2016
35716,206,"[40, 45)",M,464,13227,2016
35720,210,"[30, 35)",M,632,13692,2016
35721,211,"[65, 70)",M,2737,20580,2016
35722,212,"[45, 50)",M,49,10990,2016
35723,213,"[35, 40)",F,2756,20744,2016
35724,214,"[60, 65)",F,1176,15064,2016
35727,217,"[30, 35)",F,1499,16010,2016
35728,218,"[40, 45)",M,513,13366,2016
35729,219,"[25, 30)",M,1659,16425,2016
35730,220,"[25, 30)",M,1831,16884,2016
35731,221,"[60, 65)",F,3033,25603,2016
35733,223,"[30, 35)",F,624,13668,2016
35735,225,"[30, 35)",M,881,14309,2016
35736,226,"[45, 50)",M,427,13107,2016
35738,228,"[40, 45)",M,1118,14912,2016
35739,229,"[35, 40)",F,1519,16049,2016
35740,230,"[30, 35)",M,1540,16097,2016
35744,234,"[35, 40)",M,370,12897,2016
35745,235,"[20, 25)",M,1946,17212,2016
35748,238,"[35, 40)",M,1891,17047,2016
35751,241,"[45, 50)",F,971,14492,2016
35753,243,"[30, 35)",F,2441,19028,2016
35755,245,"[35, 40)",M,1537,16092,2016
35756,246,"[35, 40)",M,822,14167,2016
35757,247,"[50, 55)",F,2753,20711,2016
35758,248,"[40, 45)",M,67,11158,2016
35761,251,"[45, 50)",F,1730,16624,2016
35762,252,"[45, 50)",F,1652,16397,2016
35763,253,"[40, 45)",F,507,13355,2016
35764,254,"[25, 30)",M,2101,17655,2016
35765,255,"[40, 45)",F,3040,25788,2016
35766,256,"[30, 35)",F,2117,17726,2016
35767,257,"[35, 40)",M,81,11374,2016
35768,258,"[45, 50)",F,2245,18161,2016
35770,260,"[35, 40)",M,769,14056,2016
35771,261,"[45, 50)",M,196,12199,2016
35772,262,"[35, 40)",F,1851,16955,2016
35773,263,"[35, 40)",M,2071,17540,2016
35774,264,"[45, 50)",M,1283,15394,2016
35779,269,"[30, 35)",F,363,12861,2016
35780,270,"[35, 40)",M,2120,17729,2016
35782,272,"[35, 40)",M,765,14046,2016
35783,273,"[45, 50)",M,319,12675,2016
35785,275,"[35, 40)",M,625,13671,2016
35786,276,"[45, 50)",F,2255,18196,2016
35790,280,"[30, 35)",M,1547,16105,2016
35791,281,"[35, 40)",M,651,13745,2016
35792,282,"[35, 40)",F,2443,19029,2016
35795,285,"[30, 35)",F,1593,16221,2016
35796,286,"[35, 40)",F,1768,16725,2016
35797,287,"[20, 25)",M,2932,22658,2016
35798,288,"[40, 45)",M,1961,17248,2016
35799,289,"[35, 40)",M,1061,14776,2016
35800,290,"[50, 55)",F,2648,19903,2016
35802,292,"[40, 45)",M,2019,17399,2016
35804,294,"[35, 40)",M,1530,16081,2016
35809,299,"[45, 50)",F,777,14074,2016
35810,300,"[40, 45)",F,1951,17219,2016
35812,302,"[35, 40)",F,2257,18201,2016
35813,303,"[45, 50)",M,1110,14896,2016
35814,304,"[50, 55)",M,2707,20341,2016
35816,306,"[20, 25)",M,2596,19673,2016
35818,308,"[45, 50)",F,1204,15137,2016
35819,309,"[25, 30)",M,1991,17328,2016
35820,310,"[30, 35)",F,2695,20270,2016
35821,311,"[35, 40)",F,2200,17981,2016
35824,314,"[40, 45)",F,1602,16252,2016
35825,315,"[50, 55)",M,475,13270,2016
35827,317,"[50, 55)",M,998,14569,2016
35828,318,"[35, 40)",F,2684,20171,2016
35829,319,"[20, 25)",F,2790,20976,2016
35830,320,"[20, 25)",F,2898,22127,2016
35831,321,"[40, 45)",M,1590,16203,2016
35832,322,"[30, 35)",M,829,14185,2016
35833,323,"[40, 45)",M,219,12332,2016
35834,324,"[40, 45)",M,360,12846,2016
35835,325,"[30, 35)",F,2023,17409,2016
35836,326,"[55, 60)",M,2667,20008,2016
35838,328,"[20, 25)",M,3037,25698,2016
35839,329,"[45, 50)",M,2451,19055,2016
35840,330,"[40, 45)",F,1366,15619,2016
35841,331,"[55, 60)",M,1016,14625,2016
35842,332,"[30, 35)",F,1346,15557,2016
35844,334,"[40, 45)",F,555,13494,2016
35845,335,"[45, 50)",F,2409,18901,2016
35846,336,"[55, 60)",M,666,13786,2016
35849,339,"[20, 25)",M,1631,16346,2016
35850,340,"[30, 35)",M,419,13098,2016
35852,342,"[45, 50)",M,988,14535,2016
35853,343,"[35, 40)",M,884,14312,2016
35854,344,"[45, 50)",M,2809,21143,2016
35856,346,"[25, 30)",F,2492,19216,2016
35858,347,"[40, 45)",M,1712,16565,2016
35859,348,"[50, 55)",M,1233,15227,2016
35860,349,"[40, 45)",M,2574,19585,2016
35861,350,"[35, 40)",M,1705,16553,2016
35862,351,"[40, 45)",F,86,11394,2016
35864,353,"[40, 45)",M,1140,14958,2016
35865,354,"[35, 40)",M,328,12722,2016
35866,355,"[40, 45)",M,473,13258,2016
35867,356,"[40, 45)",M,2234,18119,2016
35868,357,"[35, 40)",M,1635,16350,2016
35870,359,"[30, 35)",F,2109,17695,2016
35871,360,"[45, 50)",F,468,13242,2016
35874,363,"[30, 35)",M,609,13634,2016
35875,364,"[55, 60)",M,1100,14872,2016
35879,368,"[15, 20)",F,1857,16965,2016
35881,370,"[35, 40)",F,641,13721,2016
35882,371,"[35, 40)",M,147,11943,2016
35883,372,"[30, 35)",M,2194,17965,2016
35884,373,"[40, 45)",F,721,13965,2016
35885,374,"[50, 55)",M,1086,14837,2016
35886,375,"[40, 45)",F,1740,16637,2016
35887,376,"[40, 45)",F,1995,17346,2016
35888,377,"[30, 35)",F,2433,19005,2016
35889,378,"[60, 65)",F,2586,19627,2016
35893,382,"[40, 45)",M,90,11447,2016
35894,383,"[30, 35)",M,1289,15403,2016
35896,385,"[25, 30)",M,1236,15231,2016
35897,386,"[40, 45)",M,461,13217,2016
35898,387,"[40, 45)",M,2012,17385,2016
35899,388,"[35, 40)",M,581,13555,2016
35900,389,"[25, 30)",M,2108,17691,2016
35901,390,"[30, 35)",M,1264,15301,2016
35903,392,"[45, 50)",F,1866,16979,2016
35904,393,"[30, 35)",M,176,12084,2016
35905,394,"[50, 55)",F,268,12537,2016
35906,395,"[35, 40)",M,1531,16083,2016
35910,399,"[40, 45)",F,2074,17547,2016
35911,400,"[30, 35)",F,1411,15786,2016
35912,401,"[50, 55)",M,2181,17920,2016
35913,402,"[45, 50)",M,1459,15933,2016
35915,404,"[30, 35)",F,597,13614,2016
35916,405,"[50, 55)",M,338,12769,2016
35917,406,"[30, 35)",F,2406,18891,2016
35919,408,"[25, 30)",F,1466,15944,2016
35920,409,"[25, 30)",M,36,10886,2016
35921,410,"[35, 40)",M,297,12625,2016
35922,411,"[40, 45)",F,15,10530,2016
35923,412,"[65, 70)",M,2807,21130,2016
35924,413,"[35, 40)",M,1099,14872,2016
35925,414,"[40, 45)",M,2573,19584,2016
35926,415,"[50, 55)",M,1425,15815,2016
35928,417,"[35, 40)",M,1013,14616,2016
35929,418,"[40, 45)",M,2771,20850,2016
35930,419,"[55, 60)",M,1409,15772,2016
35931,420,"[35, 40)",M,2182,17921,2016
35932,421,"[50, 55)",M,286,12592,2016
35933,422,"[30, 35)",F,1317,15475,2016
35937,426,"[40, 45)",M,637,13705,2016
35938,427,"[35, 40)",F,2535,19406,2016
35940,429,"[60, 65)",M,596,13611,2016
35941,430,"[20, 25)",F,2440,19025,2016
35942,431,"[55, 60)",M,395,13001,2016
35944,433,"[30, 35)",M,1902,17083,2016
35945,434,"[40, 45)",M,2321,18466,2016
35946,435,"[35, 40)",F,2814,21214,2016
35947,436,"[50, 55)",M,2903,22171,2016
35949,438,"[45, 50)",F,2209,18007,2016
35954,443,"[25, 30)",M,2678,20129,2016
35955,444,"[30, 35)",F,364,12867,2016
35956,445,"[40, 45)",M,2677,20124,2016
35957,446,"[35, 40)",M,1823,16873,2016
35958,447,"[30, 35)",M,2033,17446,2016
35959,448,"[30, 35)",M,261,12515,2016
35961,450,"[25, 30)",M,778,14076,2016
35963,452,"[45, 50)",M,2618,19782,2016
35965,454,"[20, 25)",M,351,12818,2016
35966,455,"[40, 45)",F,476,13275,2016
35967,456,"[30, 35)",M,449,13164,2016
35968,457,"[40, 45)",M,907,14344,2016
35969,458,"[40, 45)",F,2449,19049,2016
35970,459,"[25, 30)",M,246,12437,2016
35971,460,"[35, 40)",M,2203,17990,2016
35973,462,"[40, 45)",M,2935,22710,2016
35974,463,"[35, 40)",M,2954,23192,2016
35975,464,"[40, 45)",M,1123,14926,2016
35976,465,"[25, 30)",M,767,14049,2016
35978,467,"[45, 50)",M,873,14281,2016
35980,469,"[60, 65)",M,1330,15519,2016
35982,470,"[40, 45)",M,910,14347,2016
35984,472,"[40, 45)",M,828,14184,2016
35985,473,"[55, 60)",F,2414,18929,2016
35987,475,"[35, 40)",F,585,13570,2016
35989,477,"[50, 55)",M,804,14133,2016
35990,478,"[35, 40)",M,1124,14927,2016
35991,479,"[45, 50)",M,1868,16982,2016
35993,481,"[35, 40)",M,1383,15694,2016
35995,483,"[45, 50)",F,2363,18670,2016
35996,484,"[45, 50)",M,414,13089,2016
35997,485,"[30, 35)",F,1805,16820,2016
35998,486,"[35, 40)",M,2043,17480,2016
36000,488,"[40, 45)",F,2420,18946,2016
36001,489,"[35, 40)",M,1669,16443,2016
36002,490,"[55, 60)",M,2035,17464,2016
36003,491,"[60, 65)",M,1151,14989,2016
36004,492,"[50, 55)",M,1111,14897,2016
36005,493,"[20, 25)",M,132,11828,2016
36006,494,"[30, 35)",M,835,14202,2016
36007,495,"[45, 50)",M,97,11561,2016
36008,496,"[40, 45)",M,2374,18735,2016
36009,497,"[45, 50)",M,1513,16032,2016
36010,498,"[30, 35)",M,1808,16825,2016
36013,501,"[30, 35)",F,1918,17107,2016
36015,503,"[30, 35)",M,447,13154,2016
36017,505,"[50, 55)",M,1278,15366,2016
36018,506,"[35, 40)",F,1494,16004,2016
36019,507,"[40, 45)",M,1689,16488,2016
36020,508,"[50, 55)",M,725,13973,2016
36021,509,"[45, 50)",M,799,14114,2016
36024,512,"[30, 35)",M,408,13052,2016
36025,513,"[40, 45)",F,3011,24652,2016
36026,514,"[55, 60)",M,2544,19473,2016
36027,515,"[40, 45)",M,2989,23878,2016
36028,516,"[25, 30)",F,2575,19593,2016
36029,517,"[20, 25)",F,732,13985,2016
36030,518,"[35, 40)",M,1675,16454,2016
36031,519,"[20, 25)",F,1818,16857,2016
36033,521,"[40, 45)",M,915,14358,2016
36034,522,"[40, 45)",M,1430,15838,2016
36035,523,"[40, 45)",M,64,11137,2016
36036,524,"[40, 45)",M,515,13373,2016
36037,525,"[45, 50)",M,1793,16785,2016
36038,526,"[35, 40)",M,1190,15111,2016
36039,527,"[50, 55)",M,2956,23229,2016
36040,528,"[50, 55)",M,70,11180,2016
36041,529,"[40, 45)",F,2435,19013,2016
36042,530,"[25, 30)",F,439,13134,2016
36045,533,"[60, 65)",M,1369,15636,2016
36047,535,"[40, 45)",F,874,14281,2016
36050,538,"[45, 50)",M,2540,19452,2016
36051,539,"[35, 40)",M,654,13760,2016
36053,541,"[40, 45)",F,2636,19853,2016
36056,544,"[40, 45)",F,2468,19115,2016
36057,545,"[20, 25)",F,1243,15241,2016
36058,546,"[45, 50)",M,2312,18417,2016
36059,547,"[45, 50)",M,324,12715,2016
36060,548,"[55, 60)",M,1143,14964,2016
36061,549,"[25, 30)",F,2838,21477,2016
36062,550,"[40, 45)",M,13,10459,2016
36064,552,"[40, 45)",M,975,14500,2016
36067,555,"[40, 45)",M,344,12793,2016
36068,556,"[30, 35)",M,2096,17633,2016
36070,558,"[50, 55)",M,1715,16586,2016
36072,560,"[30, 35)",F,2316,18440,2016
36073,561,"[55, 60)",M,2287,18328,2016
36074,562,"[35, 40)",M,131,11819,2016
36077,565,"[40, 45)",M,2951,23076,2016
36078,566,"[50, 55)",M,793,14101,2016
36079,567,"[75, 80)",M,2983,23642,2016
36081,569,"[40, 45)",M,322,12696,2016
36082,570,"[60, 65)",F,2635,19843,2016
36087,575,"[30, 35)",F,1980,17306,2016
36088,576,"[30, 35)",M,1169,15048,2016
36089,577,"[40, 45)",M,2150,17830,2016
36091,579,"[35, 40)",F,1097,14864,2016
36093,581,"[45, 50)",M,209,12271,2016
36094,582,"[20, 25)",F,1538,16094,2016
36095,583,"[60, 65)",F,2272,18263,2016
36096,584,"[30, 35)",M,1308,15447,2016
36098,586,"[35, 40)",M,1718,16590,2016
36099,587,"[30, 35)",F,3019,24776,2016
36100,588,"[40, 45)",M,61,11128,2016
36102,590,"[30, 35)",F,1348,15562,2016
36103,591,"[40, 45)",M,2479,19170,2016
36105,593,"[45, 50)",F,3003,24434,2016
36108,596,"[25, 30)",M,299,12629,2016
36109,597,"[30, 35)",F,2810,21156,2016
36110,598,"[25, 30)",M,215,12318,2016
36112,600,"[40, 45)",M,48,10986,2016
36113,601,"[25, 30)",F,962,14463,2016
36116,604,"[35, 40)",M,1650,16394,2016
36118,606,"[45, 50)",F,2436,19014,2016
36119,607,"[25, 30)",M,1703,16550,2016
36122,610,"[20, 25)",M,1815,16839,2016
36123,611,"[40, 45)",F,2916,22347,2016
36124,612,"[40, 45)",F,1518,16048,2016
36125,613,"[40, 45)",M,724,13966,2016
36127,615,"[40, 45)",M,214,12310,2016
36130,618,"[30, 35)",F,2062,17522,2016
36131,619,"[25, 30)",F,1367,15622,2016
36132,620,"[50, 55)",M,924,14369,2016
36133,621,"[15, 20)",M,1090,14849,2016
36134,622,"[40, 45)",F,2237,18132,2016
36135,623,"[30, 35)",F,2526,19363,2016
36136,624,"[45, 50)",M,2712,20361,2016
36137,625,"[55, 60)",M,833,14195,2016
36138,626,"[25, 30)",F,1982,17311,2016
36140,628,"[25, 30)",F,1134,14943,2016
36142,630,"[25, 30)",M,2225,18085,2016
36143,631,"[20, 25)",F,2356,18623,2016
36146,634,"[50, 55)",M,137,11870,2016
36149,637,"[55, 60)",M,1720,16593,2016
36150,638,"[35, 40)",M,2091,17620,2016
36152,640,"[40, 45)",F,973,14494,2016
36154,642,"[50, 55)",M,1865,16978,2016
36156,644,"[55, 60)",M,1210,15153,2016
36157,645,"[30, 35)",F,2236,18132,2016
36158,646,"[30, 35)",M,208,12265,2016
36159,647,"[45, 50)",M,2454,19059,2016
36160,648,"[50, 55)",M,2765,20830,2016
36161,649,"[45, 50)",M,1102,14875,2016
36162,650,"[40, 45)",M,1867,16981,2016
36163,651,"[50, 55)",F,1551,16112,2016
36164,652,"[35, 40)",M,681,13842,2016
36165,653,"[45, 50)",M,583,13565,2016
36166,654,"[35, 40)",F,2073,17546,2016
36167,655,"[45, 50)",M,1847,16946,2016
36168,656,"[30, 35)",F,1418,15804,2016
36169,657,"[30, 35)",M,32,10875,2016
36170,658,"[35, 40)",M,524,13408,2016
36171,659,"[55, 60)",F,2768,20836,2016
36172,660,"[40, 45)",M,399,13019,2016
36173,661,"[40, 45)",M,260,12505,2016
36174,662,"[30, 35)",M,136,11864,2016
36175,663,"[60, 65)",M,2102,17669,2016
36176,664,"[45, 50)",F,2135,17777,2016
36178,666,"[35, 40)",F,953,14441,2016
36181,669,"[35, 40)",F,1972,17268,2016
36183,671,"[50, 55)",F,2708,20341,2016
36184,672,"[50, 55)",F,1940,17190,2016
36187,675,"[30, 35)",M,1548,16105,2016
36188,676,"[50, 55)",M,2260,18216,2016
36189,677,"[25, 30)",F,639,13711,2016
36190,678,"[25, 30)",M,916,14360,2016
36191,679,"[35, 40)",F,2125,17744,2016
36192,680,"[30, 35)",M,603,13624,2016
36193,681,"[35, 40)",F,2718,20405,2016
36194,682,"[20, 25)",M,853,14239,2016
36195,683,"[50, 55)",M,2249,18169,2016
36196,684,"[25, 30)",F,1682,16468,2016
36200,688,"[20, 25)",M,812,14146,2016
36201,689,"[25, 30)",M,181,12129,2016
36203,691,"[30, 35)",F,2137,17780,2016
36205,693,"[30, 35)",F,1701,16542,2016
36207,695,"[40, 45)",M,173,12065,2016
36208,696,"[40, 45)",M,1716,16586,2016
36209,697,"[25, 30)",M,1091,14852,2016
36210,698,"[35, 40)",M,2001,17365,2016
36211,699,"[35, 40)",F,2902,22167,2016
36212,700,"[60, 65)",M,2770,20841,2016
36213,701,"[35, 40)",F,2494,19224,2016
36214,702,"[30, 35)",M,2792,20991,2016
36215,703,"[30, 35)",M,2928,22566,2016
36216,704,"[50, 55)",F,2197,17981,2016
36218,706,"[45, 50)",M,708,13922,2016
36220,708,"[65, 70)",M,3004,24480,2016
36221,709,"[35, 40)",M,25,10739,2016
36222,710,"[15, 20)",M,2500,19258,2016
36223,711,"[25, 30)",F,2515,19322,2016
36225,713,"[30, 35)",M,288,12594,2016
36226,714,"[30, 35)",M,1949,17218,2016
36228,716,"[40, 45)",M,2144,17808,2016
36229,717,"[50, 55)",M,62,11129,2016
36230,718,"[35, 40)",F,1757,16692,2016
36231,719,"[30, 35)",M,1253,15268,2016
36233,721,"[25, 30)",F,321,12685,2016
36235,723,"[35, 40)",F,1719,16591,2016
36237,725,"[35, 40)",F,1855,16961,2016
36238,726,"[35, 40)",M,391,12981,2016
36239,727,"[25, 30)",F,1010,14600,2016
36240,728,"[35, 40)",M,837,14205,2016
36242,730,"[35, 40)",M,1697,16517,2016
36243,731,"[45, 50)",M,156,11965,2016
36244,732,"[40, 45)",M,994,14551,2016
36246,734,"[25, 30)",M,1487,15974,2016
36247,735,"[35, 40)",M,1234,15228,2016
36248,736,"[50, 55)",F,1579,16175,2016
36250,738,"[20, 25)",F,1027,14661,2016
36253,741,"[30, 35)",M,1785,16764,2016
36254,742,"[30, 35)",F,2876,21863,2016
36255,743,"[35, 40)",M,253,12466,2016
36256,744,"[45, 50)",M,163,11990,2016
36260,748,"[40, 45)",F,2981,23613,2016
36261,749,"[40, 45)",F,2233,18108,2016
36263,751,"[45, 50)",M,707,13921,2016
36264,752,"[40, 45)",M,148,11944,2016
36265,753,"[55, 60)",F,2879,21903,2016
36266,754,"[30, 35)",M,2208,18000,2016
36268,756,"[45, 50)",F,2908,22185,2016
36269,757,"[35, 40)",M,1736,16633,2016
36270,758,"[20, 25)",M,2007,17369,2016
36272,760,"[35, 40)",M,2116,17724,2016
36273,761,"[35, 40)",M,791,14096,2016
36275,763,"[30, 35)",M,1420,15810,2016
36276,764,"[35, 40)",M,1633,16348,2016
36277,765,"[60, 65)",M,1335,15529,2016
36279,767,"[30, 35)",M,1522,16057,2016
36280,768,"[25, 30)",F,2591,19662,2016
36281,769,"[45, 50)",F,337,12769,2016
36282,770,"[60, 65)",M,330,12726,2016
36283,771,"[40, 45)",F,2861,21750,2016
36284,772,"[35, 40)",M,1809,16825,2016
36285,773,"[30, 35)",F,1637,16361,2016
36286,774,"[45, 50)",M,663,13781,2016
36289,777,"[25, 30)",M,2199,17981,2016
36290,778,"[60, 65)",M,2027,17432,2016
36291,779,"[35, 40)",M,164,11991,2016
36292,780,"[25, 30)",M,1454,15916,2016
36293,781,"[50, 55)",M,262,12517,2016
36295,783,"[30, 35)",F,2215,18023,2016
36296,784,"[55, 60)",F,1337,15534,2016
36299,787,"[35, 40)",M,2295,18355,2016
36300,788,"[35, 40)",M,140,11888,2016
36301,789,"[75, 80)",M,2546,19484,2016
36302,790,"[25, 30)",M,1829,16882,2016
36304,792,"[30, 35)",M,2675,20090,2016
36305,793,"[45, 50)",M,2473,19148,2016
36306,794,"[45, 50)",F,365,12881,2016
36307,795,"[30, 35)",M,1390,15717,2016
36308,796,"[25, 30)",F,1266,15318,2016
36309,797,"[35, 40)",M,1577,16171,2016
36312,800,"[30, 35)",F,2146,17817,2016
36314,802,"[45, 50)",M,1178,15079,2016
36315,803,"[60, 65)",M,2912,22288,2016
36317,805,"[45, 50)",M,2242,18154,2016
36319,807,"[40, 45)",F,2985,23666,2016
36320,808,"[50, 55)",F,2527,19365,2016
36321,809,"[45, 50)",M,921,14364,2016
36322,810,"[30, 35)",F,1814,16835,2016
36323,811,"[30, 35)",M,82,11380,2016
36324,812,"[25, 30)",M,787,14091,2016
36326,814,"[40, 45)",M,271,12554,2016
36327,815,"[20, 25)",M,3032,25476,2016
36328,816,"[40, 45)",M,926,14373,2016
36330,818,"[50, 55)",M,646,13736,2016
36332,820,"[55, 60)",M,744,14010,2016
36333,821,"[30, 35)",M,24,10725,2016
36334,822,"[45, 50)",F,2268,18247,2016
36337,825,"[45, 50)",M,2466,19108,2016
36338,826,"[40, 45)",F,1822,16867,2016
36339,827,"[45, 50)",M,80,11356,2016
36340,828,"[55, 60)",M,792,14100,2016
36341,829,"[45, 50)",M,188,12152,2016
36342,830,"[30, 35)",F,1978,17292,2016
36343,831,"[30, 35)",M,40,10911,2016
36344,832,"[40, 45)",F,1586,16202,2016
36346,834,"[35, 40)",F,2948,23024,2016
36347,835,"[40, 45)",M,1811,16831,2016
36348,836,"[45, 50)",M,2594,19672,2016
36349,837,"[25, 30)",F,1244,15242,2016
36351,839,"[30, 35)",M,471,13256,2016
36352,840,"[50, 55)",M,1542,16100,2016
36353,841,"[40, 45)",F,2825,21294,2016
36354,842,"[30, 35)",F,282,12581,2016
36355,843,"[40, 45)",M,808,14140,2016
36357,845,"[20, 25)",M,936,14394,2016
36360,848,"[45, 50)",M,1160,15028,2016
36361,849,"[40, 45)",M,1645,16380,2016
36362,850,"[60, 65)",F,3025,25006,2016
36363,851,"[40, 45)",F,1214,15163,2016
36364,852,"[35, 40)",F,1362,15609,2016
36365,853,"[30, 35)",M,76,11299,2016
36366,854,"[35, 40)",F,1754,16684,2016
36367,855,"[35, 40)",M,817,14157,2016
36368,856,"[40, 45)",M,1528,16068,2016
36369,857,"[25, 30)",F,2294,18352,2016
36370,858,"[55, 60)",M,684,13854,2016
36371,859,"[35, 40)",M,816,14152,2016
36372,860,"[45, 50)",F,2437,19020,2016
36373,861,"[55, 60)",M,2204,17990,2016
36375,863,"[45, 50)",F,2835,21431,2016
36376,864,"[35, 40)",F,2518,19325,2016
36377,865,"[50, 55)",M,2597,19674,2016
36378,866,"[35, 40)",M,312,12657,2016
36379,867,"[40, 45)",F,1975,17281,2016
36380,868,"[40, 45)",F,2717,20404,2016
36381,869,"[45, 50)",M,1680,16463,2016
36382,870,"[50, 55)",M,1252,15268,2016
36383,871,"[55, 60)",F,1841,16920,2016
36384,872,"[30, 35)",M,1896,17060,2016
36385,873,"[35, 40)",M,2202,17989,2016
36386,874,"[30, 35)",F,2606,19706,2016
36387,875,"[30, 35)",M,39,10908,2016
36388,876,"[20, 25)",F,982,14515,2016
36389,877,"[40, 45)",M,1646,16383,2016
36391,879,"[40, 45)",M,1552,16117,2016
36393,881,"[20, 25)",M,3036,25698,2016
36394,882,"[35, 40)",F,295,12620,2016
36395,883,"[50, 55)",M,2778,20923,2016
36396,884,"[20, 25)",F,1145,14969,2016
36397,885,"[40, 45)",M,2084,17581,2016
36399,887,"[30, 35)",M,118,11724,2016
36401,889,"[15, 20)",M,1890,17047,2016
36403,891,"[60, 65)",M,1627,16318,2016
36404,892,"[40, 45)",M,454,13185,2016
36405,893,"[45, 50)",M,595,13609,2016
36406,894,"[55, 60)",M,851,14237,2016
36408,896,"[50, 55)",M,1480,15965,2016
36409,897,"[40, 45)",F,1806,16823,2016
36410,898,"[40, 45)",M,2314,18426,2016
36415,903,"[35, 40)",M,1039,14695,2016
36416,904,"[45, 50)",F,1009,14597,2016
36419,907,"[40, 45)",M,116,11707,2016
36423,911,"[45, 50)",F,2986,23668,2016
36428,916,"[35, 40)",M,1046,14710,2016
36430,918,"[50, 55)",M,301,12635,2016
36431,919,"[30, 35)",M,334,12747,2016
36434,922,"[55, 60)",M,2170,17887,2016
36436,924,"[35, 40)",F,1849,16950,2016
36437,925,"[55, 60)",M,2175,17910,2016
36438,926,"[45, 50)",M,451,13177,2016
36439,927,"[25, 30)",F,1778,16751,2016
36440,928,"[30, 35)",M,2665,20006,2016
36441,929,"[30, 35)",M,2195,17975,2016
36442,930,"[40, 45)",M,1654,16402,2016
36443,931,"[35, 40)",F,2313,18426,2016
36444,932,"[25, 30)",F,682,13851,2016
36445,933,"[20, 25)",M,2281,18303,2016
