Id,Sex,Age Category,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2016,Time,Rank,TotalRaces,LastRace
78,1,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.600984082954,0.57653973933,1,1
81,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,0,0,1,0.389241133347,0.0322003577818,1,1
83,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.409715342448,0.0608228980322,1,1
85,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.467307311274,0.207768975211,1,1
86,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.550789247738,0.447993866599,1,1
87,0,0.153846153846,0,0,0,0,0,0,0,0,0,0,0,0,1,0.748233273892,0.749041656018,1,1
88,1,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.497358166568,0.299769997444,1,1
91,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.610857935407,0.594684385382,1,1
92,0,0.307692307692,0,1,0,0,0,0,0,0,0,0,0,0,1,0.601776632983,0.406210069001,2,1
94,0,0.538461538462,0,0,0,0,0,0,1,1,1,1,1,1,1,0.52159698831,0.364024679639,7,1
95,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.742916584109,0.746486072067,1,1
96,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.287167294102,0.000255558395093,1,1
97,0,0.692307692308,0,0,0,0,0,0,0,0,0,0,0,0,1,0.558912885543,0.470738563762,1,1
98,0,0.307692307692,0,0,0,0,1,1,1,1,0,0,0,0,1,0.51191466878,0.292614362382,5,1
101,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.716564295621,0.729619217991,1,1
102,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.551845981111,0.450549450549,1,1
103,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.499768839575,0.307436749297,1,1
104,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.536193118024,0.407871198569,1,1
105,0,0.615384615385,0,0,0,0,0,0,0,0,0,0,1,1,1,0.46847412104,0.190050259818,3,1
109,0,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.449904233538,0.153846153846,1,1
111,1,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.68790040288,0.706874520828,1,1
112,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,1,1,0.563040750281,0.473038589318,2,1
113,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.510864539991,0.336059289548,1,1
114,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.418301301103,0.0807564528495,1,1
116,1,0.230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1,0.519318406974,0.355992844365,1,1
117,0,0.538461538462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39848755036,0.0444671607462,1,1
118,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.484479228585,0.262969588551,1,1
120,0,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.563899346146,0.485305392282,1,1
121,1,0.461538461538,0,0,0,0,0,0,0,0,0,0,0,0,1,0.484842480682,0.263480705341,1,1
122,1,0.0769230769231,0,0,0,0,0,0,0,0,0,0,0,0,1,0.552770622812,0.4531050345,1,1
123,0,0.538461538462,0,0,0,1,1,0,0,1,0,0,0,1,1,0.44640380424,0.119345770509,5,1
124,1,0.307692307692,0,0,0,0,0,0,0,0,0,0,0,0,1,0.469916121789,0.216969077434,1,1
125,0,0.0769230769231,0,0,0,0,0,0,0,0,0,0,0,0,1,0.614193250116,0.600051111679,1,1
127,0,0.384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1,0.438379235189,0.121901354459,1,1
